 2021-12-13T18:05:04.309Z INFO  run > Using area: 2013265923TYPE299
 2021-12-13T18:05:04.309Z INFO  run > Using mode simulate for area '2013265923TYPE299'
 2021-12-13T18:05:04.309Z INFO  run > Loading data from disk...
 2021-12-13T18:05:04.313Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks101ew_population_144.csv'
 2021-12-13T18:05:07.842Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks608uk_occupation_count_NM_1518_1.csv'
 2021-12-13T18:05:08.276Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/wf01bew_residential_vs_workplace_NM_1228_1.csv'
 2021-12-13T18:05:09.100Z INFO  run              > Finished loading data in 4.791217062s,     Now Initialising  simulator
 2021-12-13T18:05:09.100Z DEBUG sim::simulator   > Current memory usage: 2.241 GB
 2021-12-13T18:05:09.101Z INFO  sim::models      > Loading map data from file...
 2021-12-13T18:05:10.399Z INFO  sim::models      > Finished loading map data in 1.297487093s
 2021-12-13T18:05:10.399Z INFO  sim::simulator   > Loaded map data in 1.29846196s
 2021-12-13T18:05:20.942Z INFO  sim::simulator   > Built residential population in 11.84226115s
 2021-12-13T18:05:20.942Z DEBUG sim::simulator   > Current memory usage: 4.131 GB
 2021-12-13T18:05:25.381Z INFO  sim::simulator   > Generated workplaces in 16.28118846s
 2021-12-13T18:05:25.381Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z INFO  sim::simulator   > Initialization completed in 16.315647 seconds
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Starting Statistics:
      There are 5249772 total Citizens
      17246 Output Areas
 2021-12-13T18:05:25.468Z INFO  run              > Initialised simulator, starting sim...
 2021-12-13T18:05:25.468Z INFO  sim::simulator   > Starting simulation...
Completed     10 time steps, in: 0.00 seconds  Statistics: Hour:    0, Total:        0, Susceptible:        0, Exposed:        0, Infected:        0, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 20.66 seconds  Statistics: Hour:  530, Total:  5249772, Susceptible:  1711930, Exposed:  2620626, Infected:   916817, Recovered:      399 Vaccinated:        0,   Memory usage: 4.323 GB
 2021-12-13T18:12:13.198Z INFO  sim::interventions > Mask wearing on public transport is enacted
 2021-12-13T18:12:13.198Z INFO  sim::simulator     > Starting vaccination program at hour: 538
 2021-12-13T18:12:13.581Z INFO  sim::simulator     > Mask wearing status has changed: Only Public Transport at hour 538
 2021-12-13T18:12:47.728Z INFO  sim::interventions > Mask wearing everywhere is enacted
 2021-12-13T18:12:47.728Z INFO  sim::simulator     > Mask wearing status has changed: Everywhere at hour 539
 2021-12-13T18:13:24.614Z INFO  sim::simulator     > Lockdown is enabled at hour 540
Completed     10 time steps, in: 126.44 seconds  Statistics: Hour:  540, Total:  5249772, Susceptible:   384022, Exposed:  1671017, Infected:  3183316, Recovered:     1417 Vaccinated:    10000,   Memory usage: 4.347 GB
Completed     10 time steps, in: 92.66 seconds  Statistics: Hour:  550, Total:  5249772, Susceptible:   108422, Exposed:  1607690, Infected:  3470778, Recovered:     2882 Vaccinated:    60000,   Memory usage: 4.374 GB
Completed     10 time steps, in: 86.99 seconds  Statistics: Hour:  560, Total:  5249772, Susceptible:    58018, Exposed:  1607680, Infected:  3471055, Recovered:     3019 Vaccinated:   110000,   Memory usage: 4.374 GB
Completed     10 time steps, in: 87.14 seconds  Statistics: Hour:  570, Total:  5249772, Susceptible:     7386, Exposed:  1546448, Infected:  3532897, Recovered:     3041 Vaccinated:   160000,   Memory usage: 4.374 GB
Completed     10 time steps, in: 93.23 seconds  Statistics: Hour:  580, Total:  5249772, Susceptible:        0, Exposed:  1546338, Infected:  3532986, Recovered:     3062 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 93.77 seconds  Statistics: Hour:  590, Total:  5249772, Susceptible:        0, Exposed:  1544689, Infected:  3534634, Recovered:     3063 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 90.12 seconds  Statistics: Hour:  600, Total:  5249772, Susceptible:        0, Exposed:  1544576, Infected:  3534747, Recovered:     3063 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 91.88 seconds  Statistics: Hour:  610, Total:  5249772, Susceptible:        0, Exposed:  1544563, Infected:  3534760, Recovered:     3063 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 89.21 seconds  Statistics: Hour:  620, Total:  5249772, Susceptible:        0, Exposed:  1544544, Infected:  3534779, Recovered:     3063 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 87.83 seconds  Statistics: Hour:  630, Total:  5249772, Susceptible:        0, Exposed:  1544544, Infected:  3534779, Recovered:     3063 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 114.92 seconds  Statistics: Hour:  640, Total:  5249772, Susceptible:        0, Exposed:    26380, Infected:  5052943, Recovered:     3063 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 129.52 seconds  Statistics: Hour:  650, Total:  5249772, Susceptible:        0, Exposed:      709, Infected:  5074016, Recovered:     7661 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 128.66 seconds  Statistics: Hour:  660, Total:  5249772, Susceptible:        0, Exposed:      308, Infected:  5044257, Recovered:    37821 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 126.59 seconds  Statistics: Hour:  670, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5028481, Recovered:    53905 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 126.83 seconds  Statistics: Hour:  680, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5028474, Recovered:    53912 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 126.80 seconds  Statistics: Hour:  690, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5026911, Recovered:    55475 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 128.67 seconds  Statistics: Hour:  700, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5026908, Recovered:    55478 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 127.70 seconds  Statistics: Hour:  710, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5026881, Recovered:    55505 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 126.94 seconds  Statistics: Hour:  720, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5026880, Recovered:    55506 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 127.69 seconds  Statistics: Hour:  730, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5026880, Recovered:    55506 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 127.44 seconds  Statistics: Hour:  740, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5026880, Recovered:    55506 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 126.05 seconds  Statistics: Hour:  750, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  5026880, Recovered:    55506 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 124.28 seconds  Statistics: Hour:  760, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  4830636, Recovered:   251750 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 120.90 seconds  Statistics: Hour:  770, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  4699160, Recovered:   383226 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 119.59 seconds  Statistics: Hour:  780, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  4693338, Recovered:   389048 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 120.38 seconds  Statistics: Hour:  790, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  4687522, Recovered:   394864 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 118.96 seconds  Statistics: Hour:  800, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  4686998, Recovered:   395388 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 118.94 seconds  Statistics: Hour:  810, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  4686796, Recovered:   395590 Vaccinated:   167386,   Memory usage: 4.374 GB
Completed     10 time steps, in: 119.69 seconds  Statistics: Hour:  820, Total:  5249772, Susceptible:        0, Exposed:        0, Infected:  4686721, Recovered:   395665 Vaccinated:   167386,   Memory usage: 4.374 GB
